base,nav_tok,op_tok,tok_diff,tok_rel,nav_turns,op_turns,key,panel_key,key_p,topic,group,act_mean_l7_diff
023_v7_02_time_complexity_irreducibility,1102,1103,-1,-0.0009070294784580499,6,5,v7 02 time complexity irreducibility,v7 02 time complexity irreducibility,v7 02 time complexity irreducibility,v7 02 time complexity irreducibility,grey,0.6913
024_v7_03_wartime_animation_propaganda,1112,988,124,0.1180952380952381,4,7,v7 03 wartime animation propaganda,v7 03 wartime animation propaganda,v7 03 wartime animation propaganda,v7 03 wartime animation propaganda,grey,-0.3291
025_v7_04_hibernate_maven_sql,938,841,97,0.10905002810567735,3,3,v7 04 hibernate maven sql,v7 04 hibernate maven sql,v7 04 hibernate maven sql,v7 04 hibernate maven sql,grey,1.3693
026_v7_06_biological_logical_neurons,1398,1487,-89,-0.06169844020797227,7,5,v7 06 biological logical neurons,v7 06 biological logical neurons,v7 06 biological logical neurons,v7 06 biological logical neurons,grey,-0.0837
027_petya_paod_prioritization,1231,1165,66,0.05509181969949917,3,4,petya paod prioritization,petya paod prioritization,petya paod prioritization,petya paod prioritization,demonstrative,0.6958
028_petya_paod_p1_reassessment,1202,1095,107,0.09316499782324772,3,5,petya paod p1 reassessment,petya paod p1 reassessment,petya paod p1 reassessment,petya paod p1 reassessment,demonstrative,0.8727
029_petya_patterns_collective_unconscious,1194,1093,101,0.08832531700918234,4,4,petya patterns collective unconscious,petya patterns collective unconscious,petya patterns collective unconscious,petya patterns collective unconscious,demonstrative,0.6694
030_petya_russia_occupation_criteria,1218,1082,136,0.11826086956521739,4,4,petya russia occupation criteria,petya russia occupation criteria,petya russia occupation criteria,petya russia occupation criteria,demonstrative,0.2972
031_petya_carotid_concise_mdt,1192,1195,-3,-0.0025136154168412233,5,6,petya carotid concise mdt,petya carotid concise mdt,petya carotid concise mdt,petya carotid concise mdt,grey,-0.7375
032_petya_patterns_fractal_roots,1000,1108,-108,-0.10246679316888045,4,3,petya patterns fractal roots,petya patterns fractal roots,petya patterns fractal roots,petya patterns fractal roots,grey,-0.061
033_petya_russia_influence_opening,1092,1194,-102,-0.08923884514435695,5,4,petya russia influence opening,petya russia influence opening,petya russia influence opening,petya russia influence opening,grey,-0.2657
034_petya_russia_independence_soviet_frame,1426,1321,105,0.07644703312704769,5,5,petya russia independence soviet frame,petya russia independence soviet frame,petya russia independence soviet frame,petya russia independence soviet frame,grey,0.5286
035_petya_russia_pretraining_media_challenge,704,640,64,0.09523809523809523,3,4,petya russia pretraining media challenge,petya russia pretraining media challenge,petya russia pretraining media challenge,petya russia pretraining media challenge,grey,0.7103
036_petya_carotid_tail_first_principles,488,468,20,0.04184100418410042,3,3,petya carotid tail first principles,petya carotid tail first principles,petya carotid tail first principles,petya carotid tail first principles,grey,-0.1274
037_petya_paod_prompt_to_case_opening,558,489,69,0.1318051575931232,2,3,petya paod prompt to case opening,petya paod prompt to case opening,petya paod prompt to case opening,petya paod prompt to case opening,grey,0.0017
038_petya_paod_algorithm_tail,778,897,-119,-0.14208955223880598,2,3,petya paod algorithm tail,petya paod algorithm tail,petya paod algorithm tail,petya paod algorithm tail,grey,0.5656
039_petya_risotto_constraints_decision_logic,1160,1055,105,0.09480812641083522,3,4,petya risotto constraints decision logic,petya risotto constraints decision logic,petya risotto constraints decision logic,petya risotto constraints decision logic,grey,0.5708
040_petya_may29_pe_reperfusion_thresholds,1320,1235,85,0.06653620352250489,5,7,petya may29 pe reperfusion thresholds,petya may29 pe reperfusion thresholds,petya may29 pe reperfusion thresholds,petya may29 pe reperfusion thresholds,demonstrative,0.7579
041_petya_may29_sepsis_fluid_tolerance,1213,1274,-61,-0.04905508644953759,5,8,petya may29 sepsis fluid tolerance,petya may29 sepsis fluid tolerance,petya may29 sepsis fluid tolerance,petya may29 sepsis fluid tolerance,demonstrative,1.98
042_petya_may29_turbot_calorie_method,1204,1090,114,0.0993897122929381,4,6,petya may29 turbot calorie method,petya may29 turbot calorie method,petya may29 turbot calorie method,petya may29 turbot calorie method,demonstrative,1.1835
043_petya_may29_ai_apprenticeship_ladder,1427,1229,198,0.14909638554216867,3,7,petya may29 ai apprenticeship ladder,petya may29 ai apprenticeship ladder,petya may29 ai apprenticeship ladder,petya may29 ai apprenticeship ladder,demonstrative,0.6071
044_petya_may29_child_learning_discomfort,1486,1371,115,0.08050402520126006,3,8,petya may29 child learning discomfort,petya may29 child learning discomfort,petya may29 child learning discomfort,petya may29 child learning discomfort,demonstrative,0.6318
045_petya_may29_ai_homework_cognitive_ownership,1165,1131,34,0.029616724738675958,3,7,petya may29 ai homework cognitive ownership,petya may29 ai homework cognitive ownership,petya may29 ai homework cognitive ownership,petya may29 ai homework cognitive ownership,demonstrative,0.6429
046_petya_may28_prime_thermostat_feedback_clean,1290,1308,-18,-0.013856812933025405,3,8,petya may28 prime thermostat feedback clean,petya may28 prime thermostat feedback clean,petya may28 prime thermostat feedback clean,petya may28 prime thermostat feedback clean,demonstrative,1.0464
047_petya_may28_prime_immune_spam_filter,923,870,53,0.05911879531511433,5,6,petya may28 prime immune spam filter,petya may28 prime immune spam filter,petya may28 prime immune spam filter,petya may28 prime immune spam filter,demonstrative,1.1443
048_petya_may28_prime_yogurt_reverse_spherification,707,665,42,0.061224489795918366,5,4,petya may28 prime yogurt reverse spherification,petya may28 prime yogurt reverse spherification,petya may28 prime yogurt reverse spherification,petya may28 prime yogurt reverse spherification,demonstrative,1.0334
049_ppv_low_prevalence_screening,1380,1427,-47,-0.033487709298183115,4,8,ppv low prevalence screening,ppv low prevalence screening,ppv low prevalence screening,ppv low prevalence screening,demonstrative,0.3124
050_lactate_scvo2_resuscitation_endpoints,1245,1227,18,0.014563106796116505,5,8,lactate scvo2 resuscitation endpoints,lactate scvo2 resuscitation endpoints,lactate scvo2 resuscitation endpoints,lactate scvo2 resuscitation endpoints,demonstrative,0.1849
051_permissive_hypotension_safety_boundary,1327,1349,-22,-0.016442451420029897,3,9,permissive hypotension safety boundary,permissive hypotension safety boundary,permissive hypotension safety boundary,permissive hypotension safety boundary,demonstrative,0.2658
052_stress_dose_steroids_septic_shock,1421,1399,22,0.015602836879432624,5,9,stress dose steroids septic shock,stress dose steroids septic shock,stress dose steroids septic shock,stress dose steroids septic shock,demonstrative,0.2032
053_competing_risks_cause_specific_hazard,1184,1120,64,0.05555555555555555,4,8,competing risks cause specific hazard,competing risks cause specific hazard,competing risks cause specific hazard,competing risks cause specific hazard,demonstrative,0.2532
054_tiktok_preference_exposure_loop,1179,1200,-21,-0.017654476670870115,5,8,tiktok preference exposure loop,tiktok preference exposure loop,tiktok preference exposure loop,tiktok preference exposure loop,demonstrative,0.909
055_small_island_waste_logistics,1251,1318,-67,-0.05216037368625925,5,9,small island waste logistics,small island waste logistics,small island waste logistics,small island waste logistics,demonstrative,0.4734
056_restaurant_reviews_hype_quality,1327,1379,-52,-0.038433111603843315,4,10,restaurant reviews hype quality,restaurant reviews hype quality,restaurant reviews hype quality,restaurant reviews hype quality,demonstrative,0.438
057_youth_sports_drug_prevention_infrastructure,1356,1420,-64,-0.04610951008645533,4,9,youth sports drug prevention infrastructure,youth sports drug prevention infrastructure,youth sports drug prevention infrastructure,youth sports drug prevention infrastructure,demonstrative,-0.0379
058_home_cooking_delivery_app_convenience,1425,1422,3,0.002107481559536354,5,10,home cooking delivery app convenience,home cooking delivery app convenience,home cooking delivery app convenience,home cooking delivery app convenience,demonstrative,-0.1906
059_school_phone_bans_attention_autonomy,1308,1304,4,0.0030627871362940277,4,9,school phone bans attention autonomy,school phone bans attention autonomy,school phone bans attention autonomy,school phone bans attention autonomy,demonstrative,-0.1318
article_pair001_,1424,1401,23,0.016283185840707964,4,7,article pair001,article pair001,article pair001,article pair001,demonstrative,0.863
article_pair001_edu,1424,1428,-4,-0.002805049088359046,4,5,article pair001 edu,article pair001,article pair001,article pair001,demonstrative,0.863
batch_pair01_anti_joke_,1514,1415,99,0.06759986343461932,5,9,batch pair01 anti joke,batch pair01 anti joke,batch pair01 anti joke,batch pair01 anti joke,grey,0.241
batch_pair02_gcp_iam_,1266,1167,99,0.08138101109741061,5,5,batch pair02 gcp iam,batch pair02 gcp iam,batch pair02 gcp iam,batch pair02 gcp iam,grey,0.494
batch_pair03_oop_,1309,1245,64,0.050117462803445575,4,5,batch pair03 oop,batch pair03 oop,batch pair03 oop,batch pair03 oop,grey,-0.146
batch_pair06_hibernate_mappedsuperclass_,1541,1452,89,0.059472101570330775,5,7,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,grey,0.0012
batch_pair07_ww2_animation_,1583,1473,110,0.07198952879581152,5,7,batch pair07 ww2 animation,batch pair07 ww2 animation,batch pair07 ww2 animation,batch pair07 ww2 animation,demonstrative,0.5032
batch_pair08_projectile_collision_,1364,1419,-55,-0.039525691699604744,5,7,batch pair08 projectile collision,batch pair08 projectile collision,batch pair08 projectile collision,batch pair08 projectile collision,demonstrative,0.8985
batch_pair09_latent_heat_,1435,1372,63,0.04488778054862843,5,5,batch pair09 latent heat,batch pair09 latent heat,batch pair09 latent heat,batch pair09 latent heat,grey,0.4202
batch_pair10_debroglie_grav_waves_,1343,1171,172,0.1368337311058075,5,5,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,grey,0.6593
hpv_malaysia_3p5_,1179,1105,74,0.0647985989492119,1,5,hpv malaysia 3p5,hpv malaysia 3p5,hpv malaysia 3p5,hpv malaysia 3p5,demonstrative,0.0535
pair01,1514,1490,24,0.015978695073235686,5,5,pair01,batch pair01 anti joke,batch pair01 anti joke,batch pair01 anti joke,grey,0.241
pair02,1266,1080,186,0.1585677749360614,5,7,pair02,batch pair02 gcp iam,batch pair02 gcp iam,batch pair02 gcp iam,grey,0.494
pair03,1309,1566,-257,-0.17878260869565218,4,5,pair03,batch pair03 oop,batch pair03 oop,batch pair03 oop,grey,-0.146
pair06,1541,1363,178,0.12258953168044077,5,5,pair06,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,grey,0.0012
pair07,1583,1435,148,0.09807819748177601,5,5,pair07,batch pair07 ww2 animation,batch pair07 ww2 animation,batch pair07 ww2 animation,demonstrative,0.5032
pair08,1364,1492,-128,-0.0896358543417367,5,5,pair08,batch pair08 projectile collision,batch pair08 projectile collision,batch pair08 projectile collision,demonstrative,0.8985
pair09,1435,1534,-99,-0.06668912091613338,5,5,pair09,batch pair09 latent heat,batch pair09 latent heat,batch pair09 latent heat,grey,0.4202
pair10,1343,1305,38,0.028700906344410877,5,5,pair10,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,grey,0.6593
pair3_v2_sql_join_,1300,1153,147,0.11985324092947411,5,5,pair3 v2 sql join,pair3 v2 sql join,pair3 v2 sql join,pair3 v2 sql join,demonstrative,0.1019
pair4_history,886,885,1,0.001129305477131564,5,5,pair4 history,pair4 history khajuraho,pair4 history khajuraho,pair4 history khajuraho,demonstrative,0.653
pair4_history_khajuraho_,886,772,114,0.13751507840772015,5,5,pair4 history khajuraho,pair4 history khajuraho,pair4 history khajuraho,pair4 history khajuraho,demonstrative,0.653
petya_authentic_3p5_,1257,1293,-36,-0.02823529411764706,3,5,petya authentic 3p5,petya authentic 3p5,petya authentic 3p5,petya authentic 3p5,demonstrative,0.5219
pilot_pair1_prof,1039,1151,-112,-0.10228310502283106,5,5,pilot pair1 prof,pilot pair1 prof halloween,pilot pair1 prof halloween,pilot pair1 prof halloween,demonstrative,1.2883
pilot_pair1_prof_halloween_,1039,929,110,0.11178861788617886,5,5,pilot pair1 prof halloween,pilot pair1 prof halloween,pilot pair1 prof halloween,pilot pair1 prof halloween,demonstrative,1.2883
pilot_pair2_code,892,960,-68,-0.0734341252699784,5,5,pilot pair2 code,pilot pair2 code web explorer,pilot pair2 code web explorer,pilot pair2 code web explorer,demonstrative,0.6215
pilot_pair2_code_web_explorer_,892,836,56,0.06481481481481481,5,7,pilot pair2 code web explorer,pilot pair2 code web explorer,pilot pair2 code web explorer,pilot pair2 code web explorer,demonstrative,0.6215
pilot_pair2_sci,2232,1428,804,0.43934426229508194,4,5,pilot pair2 sci,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,demonstrative,0.6823
pilot_pair2_sci_traffic_flow_,1168,1189,-21,-0.017819261773440814,2,5,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,demonstrative,0.6823
pilot_pair3_code,925,1049,-124,-0.12563323201621074,3,3,pilot pair3 code,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,demonstrative,-1.0461
pilot_pair3_code_hibernate_inheritance_,925,879,46,0.050997782705099776,3,3,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,demonstrative,-1.0461
